State,HDI
 Alabama,0.882
 Alaska,0.942
 Arizona,0.913
 Arkansas,0.883
 California,0.934
 Colorado,0.947
 Connecticut,0.957
 Delaware,0.935
 District of Columbia,0.95
 Florida,0.913
 Georgia,0.906
 Hawaii,0.943
 Idaho,0.911
 Illinois,0.933
 Indiana,0.91
 Iowa,0.931
 Kansas,0.926
 Kentucky,0.886
 Louisiana,0.89
 Maine,0.919
 Maryland,0.94
 Massachusetts,0.96
 Michigan,0.916
 Minnesota,0.95
 Mississippi,0.866
 Missouri,0.91
 Montana,0.923
 Nebraska,0.937
 Nevada,0.907
 New Hampshire,0.947
 New Jersey,0.946
 New Mexico,0.904
 New York,0.946
 North Carolina,0.909
 North Dakota,0.948
 Ohio,0.917
 Oklahoma,0.899
 Oregon,0.934
 Pennsylvania,0.927
 Rhode Island,0.922
 South Carolina,0.894
 South Dakota,0.931
 Tennessee,0.897
 Texas,0.914
 Utah,0.934
 Vermont,0.938
 Virginia,0.933
 Washington,0.945
 West Virginia,0.879
 Wisconsin,0.932
 Wyoming,0.937
